"Self1Score",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"Federal2Equivalency"
132,"PULASKI, VILLAGE OF",5373-08,Construct Connection to Green Bay Water Utility,"$17,500,000.00",NE,Hannes,
132,"TOMAHAWK, CITY OF",5342-10,Treat Wells #4 and #5 for PFAS (EC1),"$6,200,000.00",NO,Andruczyk,Yes
128,"VALDERS, VILLAGE OF",4923-03,Treat Well #2 for PFAS (EC1),"$6,000,000.00",NE,Hannes,Yes
118,"GRATIOT, VILLAGE OF",5197-06,Construct Well #3,"$2,000,000.00",SC,Zettl,
118,"DARLINGTON, CITY OF",5387-04,Construct Well #4,"$4,365,300.00",SC,Zettl,
114,"LADYSMITH, CITY OF",5369-23,Replace WM on 6th St & Miner Ave,"$4,376,715.00",NO,Andruczyk,
113,"STURGEON BAY, CITY OF",5557-06,Upgrade PFAS treatment at Well No. 6 (EC1),"$6,000,000.00",NE,Hannes,Yes
113,"STURGEON BAY, CITY OF",5557-05,Upgrade PFAS treatment at Well No. 7 (EC1),"$6,000,000.00",NE,Hannes,Yes
112,"ONALASKA, CITY OF",5540-03,Treat Well #9 for PFAS (EC1),"$7,000,000.00",WC,Jaromin,Yes
110,"AVOCA, VILLAGE OF",4761-04,"Construct Well/House 3, Piping, Chem Addition, Standby Power","$2,200,000.00",SC,Zettl,
109,"STURGEON BAY, CITY OF",5557-07,Upgrade PFAS treatment at Well No. 3 (EC1),"$6,000,000.00",NE,Hannes,Yes
108,"GREEN LAKE, CITY OF",5460-06,Construct Temporary PFAS Treatment at Well #2 (EC1),"$574,964.00",NE,Hannes,Yes
107,DOWNSVILLE SD,5193-05,Rehab Water Tank,"$2,587,000.00",WC,Jaromin,
106,"BLOOMINGTON, VILLAGE OF",5065-04,Construct Well 2 and Appurtenances,"$1,122,000.00",SC,Zettl,
106,LAONA SD #1,5529-06,Construct Well No. 2,"$2,500,000.00",NO,Andruczyk,
106,FREEDOM SD #1,5194-04,Construct Well No. 3,"$4,590,000.00",NE,Hannes,
106,SEXTONVILLE SD,4898-02,"Construct Well, Transmission Main & Generator","$1,820,000.00",SC,Zettl,
100,"SUAMICO, VILLAGE OF",5392-05,Construct New Well #5,"$9,812,000.00",NE,Hannes,
98,"KAUKAUNA, CITY OF",5120-21,Construct WTP 2,"$8,500,000.00",NE,Hannes,
97,"NEW AUBURN, VILLAGE OF",5202-13,Upgrade Well #1/SCADA,"$533,100.00",WC,Jaromin,
96,"LANNON, VILLAGE OF",5647-04,Construct Connection to Sussex,"$5,100,000.00",SE,Binder,
94,"GRANTSBURG, VILLAGE OF",5377-11,Construct Pitless Unit and Raw WM at Well #2 (EC2),"$6,660,000.00",NO,Andruczyk,Yes
94,"GRANTSBURG, VILLAGE OF",5377-10,Treat Well #1 for Mn (EC1),"$6,660,000.00",NO,Andruczyk,Yes
90,"DICKEYVILLE, VILLAGE OF",4974-09,Construct Well #3,"$1,985,000.00",SC,Zettl,
90,"PEWAUKEE, VILLAGE OF",5204-07,Construct Well #7; Abandon Well #2 (EC2),"$15,600,000.00",SE,Binder,Yes
90,"STANLEY, CITY OF",4913-07,Rehab Central WTP,"$8,574,485.00",WC,Jaromin,
86,"CHASEBURG, VILLAGE OF",5306-01,"Construct Well #2, Well House, Treatment, Connecting Mains","$1,880,000.00",WC,Jaromin,
84,"NELSON, VILLAGE OF",5524-04,Construct New Well #2 and Pumphouse,"$1,200,000.00",WC,Jaromin,
84,"BELMONT, VILLAGE OF",5474-07,Rehab Well #2,"$1,820,000.00",SC,Zettl,
84,"RIPON, CITY OF",5289-17,Replace Watermains on Hamburg Street,"$250,000.00",NE,Hannes,
84,"ASHLAND, CITY OF",4759-36,Replace WM on 13th St East,"$1,000,000.00",NO,Andruczyk,
